Designator,Mid X,Mid Y,Rotation,Layer
D90,282.204,-246.989,0.0,bottom
D91,110.754,-266.039,0.0,bottom
D92,129.804,-266.039,0.0,bottom
D93,148.854,-266.039,0.0,bottom
D94,167.904,-266.039,0.0,bottom
D95,186.954,-266.039,0.0,bottom
D96,206.004,-266.039,0.0,bottom
D97,225.054,-266.039,0.0,bottom
D98,244.104,-266.039,0.0,bottom
D99,263.154,-266.039,0.0,bottom
J1,99.229544,-73.426,270.0,top
Q1,122.69,-82.61,90.0,top
Q2,122.69,-71.15,90.0,top
Q3,146.1,-71.15,270.0,top
Q4,146.1,-82.61,270.0,top
SW1,103.539,-97.464,0.0,top
SW10,274.989,-97.464,0.0,top
SW100,274.989,-268.914,0.0,top
SW11,103.539,-116.514,0.0,top
SW12,122.589,-116.514,0.0,top
SW13,141.639,-116.514,0.0,top
SW14,160.689,-116.514,0.0,top
SW15,179.739,-116.514,0.0,top
SW16,198.789,-116.514,0.0,top
SW17,217.839,-116.514,0.0,top
SW18,236.889,-116.514,0.0,top
SW19,255.939,-116.514,0.0,top
SW2,122.589,-97.464,0.0,top
SW20,274.989,-116.514,0.0,top
SW21,103.539,-135.564,0.0,top
SW22,122.589,-135.564,0.0,top
SW23,141.639,-135.564,0.0,top
SW24,160.689,-135.564,0.0,top
SW25,179.739,-135.564,0.0,top
SW26,198.789,-135.564,0.0,top
SW27,217.839,-135.564,0.0,top
SW28,236.889,-135.564,0.0,top
SW29,255.939,-135.564,0.0,top
SW3,141.639,-97.464,0.0,top
SW30,274.989,-135.564,0.0,top
SW31,103.539,-154.614,0.0,top
SW32,122.589,-154.614,0.0,top
SW33,141.639,-154.614,0.0,top
SW34,160.689,-154.614,0.0,top
SW35,179.739,-154.614,0.0,top
SW36,198.789,-154.614,0.0,top
SW37,217.839,-154.614,0.0,top
SW38,236.889,-154.614,0.0,top
SW39,255.939,-154.614,0.0,top
SW4,160.689,-97.464,0.0,top
SW40,274.989,-154.614,0.0,top
SW41,103.539,-173.664,0.0,top
SW42,122.589,-173.664,0.0,top
SW43,141.639,-173.664,0.0,top
SW44,160.689,-173.664,0.0,top
SW45,179.739,-173.664,0.0,top
SW46,198.789,-173.664,0.0,top
SW47,217.839,-173.664,0.0,top
SW48,236.889,-173.664,0.0,top
SW49,255.939,-173.664,0.0,top
SW5,179.739,-97.464,0.0,top
SW50,274.989,-173.664,0.0,top
SW51,103.539,-192.714,0.0,top
SW52,122.589,-192.714,0.0,top
SW53,141.639,-192.714,0.0,top
SW54,160.689,-192.714,0.0,top
SW55,179.739,-192.714,0.0,top
SW56,198.789,-192.714,0.0,top
SW57,217.839,-192.714,0.0,top
SW58,236.889,-192.714,0.0,top
SW59,255.939,-192.714,0.0,top
SW6,198.789,-97.464,0.0,top
SW60,274.989,-192.714,0.0,top
SW61,103.539,-211.764,0.0,top
SW62,122.589,-211.764,0.0,top
SW63,141.639,-211.764,0.0,top
SW64,160.689,-211.764,0.0,top
SW65,179.739,-211.764,0.0,top
SW66,198.789,-211.764,0.0,top
SW67,217.839,-211.764,0.0,top
SW68,236.889,-211.764,0.0,top
SW69,255.939,-211.764,0.0,top
SW7,217.839,-97.464,0.0,top
SW70,274.989,-211.764,0.0,top
SW71,103.539,-230.814,0.0,top
SW72,122.589,-230.814,0.0,top
SW73,141.639,-230.814,0.0,top
SW74,160.689,-230.814,0.0,top
SW75,179.739,-230.814,0.0,top
SW76,198.789,-230.814,0.0,top
SW77,217.839,-230.814,0.0,top
SW78,236.889,-230.814,0.0,top
SW79,255.939,-230.814,0.0,top
SW8,236.889,-97.464,0.0,top
SW80,274.989,-230.814,0.0,top
SW81,103.539,-249.864,0.0,top
SW82,122.589,-249.864,0.0,top
SW83,141.639,-249.864,0.0,top
SW84,160.689,-249.864,0.0,top
SW85,179.739,-249.864,0.0,top
SW86,198.789,-249.864,0.0,top
SW87,217.839,-249.864,0.0,top
SW88,236.889,-249.864,0.0,top
SW89,255.939,-249.864,0.0,top
SW9,255.939,-97.464,0.0,top
SW90,274.989,-249.864,0.0,top
SW91,103.539,-268.914,0.0,top
SW92,122.589,-268.914,0.0,top
SW93,141.639,-268.914,0.0,top
SW94,160.689,-268.914,0.0,top
SW95,179.739,-268.914,0.0,top
SW96,198.789,-268.914,0.0,top
SW97,217.839,-268.914,0.0,top
SW98,236.889,-268.914,0.0,top
SW99,255.939,-268.914,0.0,top
U1,258.718,-78.46,270.0,top
